TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_18521,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_5503,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20768,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14576,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13733,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_6264,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18429,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_14167,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_36716,BRANCH;EXCEPTION,0.7,6,3
com.example.task_evaluated.task_20755,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_18341,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_5809,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_35369,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_6691,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_12717,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_14207,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17091,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_24849,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_11638,BRANCH;EXCEPTION,0.625,5,2
com.example.task_evaluated.task_10638,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_28110,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14985,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_11070,BRANCH;EXCEPTION,0.6666666666666666,4,2
